/scratch2/solbon1212/topo-music/.venv/lib64/python3.11/site-packages/sklearn/utils/_param_validation.py:14: UserWarning: A NumPy version >=1.26.4 and <2.7.0 is required for this version of SciPy (detected version 1.26.3)
  from scipy.sparse import csr_array, issparse
7035 clips, 1763 tracks
arm           acc_grp  F1_grp  acc_shuf  F1_shuf
cqt             0.493   0.392     0.580    0.504
cqt_norm        0.490   0.397     0.574    0.506
cqt_fold        0.413   0.271     0.423    0.282
pq_stft         0.461   0.390     0.737    0.717
chroma          0.455   0.346     0.471    0.373
encodec_32k     0.414   0.332     0.510    0.458
mert_L4         0.458   0.379     0.743    0.722
mert_L12        0.453   0.371     0.723    0.700
mert_L16        0.452   0.371     0.724    0.701
mert_L24        0.422   0.340     0.751    0.737
muq_L2          0.500   0.418     0.766    0.742
muq_L6          0.474   0.389     0.740    0.715
muq_L8          0.447   0.363     0.702    0.677
muq_L12         0.435   0.351     0.674    0.646
wrote runs/probe_f1.json
