scripts/13_tonal_subspace.py:41: UserWarning: A NumPy version >=1.26.4 and <2.7.0 is required for this version of SciPy (detected version 1.26.3)
  from scipy.spatial.distance import pdist, squareform
chroma     n/key=   1 fifths=+0.077+-0.051 kk=+0.096
chroma     n/key=   2 fifths=+0.099+-0.044 kk=+0.122
chroma     n/key=   4 fifths=+0.166+-0.068 kk=+0.217
chroma     n/key=   8 fifths=+0.205+-0.034 kk=+0.267
chroma     n/key=  16 fifths=+0.285+-0.034 kk=+0.360
chroma     n/key=  32 fifths=+0.366+-0.040 kk=+0.479
chroma     n/key=  64 fifths=+0.438+-0.015 kk=+0.586
chroma     n/key= 128 fifths=+0.454+-0.013 kk=+0.610
chroma     n/key= all fifths=+0.475+-0.000 kk=+0.640
cqt        n/key=   1 fifths=+0.026+-0.037 kk=+0.019
cqt        n/key=   2 fifths=+0.014+-0.046 kk=+0.020
cqt        n/key=   4 fifths=-0.007+-0.032 kk=-0.009
cqt        n/key=   8 fifths=-0.030+-0.042 kk=-0.018
cqt        n/key=  16 fifths=-0.014+-0.032 kk=+0.006
cqt        n/key=  32 fifths=-0.030+-0.033 kk=+0.003
cqt        n/key=  64 fifths=-0.009+-0.046 kk=+0.027
cqt        n/key= 128 fifths=-0.036+-0.028 kk=+0.004
cqt        n/key= all fifths=-0.035+-0.000 kk=+0.006
hcqt       n/key=   1 fifths=+0.033+-0.033 kk=+0.025
hcqt       n/key=   2 fifths=+0.069+-0.061 kk=+0.084
hcqt       n/key=   4 fifths=+0.086+-0.046 kk=+0.111
hcqt       n/key=   8 fifths=+0.112+-0.049 kk=+0.164
hcqt       n/key=  16 fifths=+0.215+-0.057 kk=+0.269
hcqt       n/key=  32 fifths=+0.326+-0.044 kk=+0.416
hcqt       n/key=  64 fifths=+0.481+-0.043 kk=+0.603
hcqt       n/key= 128 fifths=+0.515+-0.028 kk=+0.650
hcqt       n/key= all fifths=+0.554+-0.000 kk=+0.698
pq_stft    n/key=   1 fifths=+0.049+-0.036 kk=+0.047
pq_stft    n/key=   2 fifths=+0.065+-0.038 kk=+0.091
pq_stft    n/key=   4 fifths=+0.116+-0.043 kk=+0.140
pq_stft    n/key=   8 fifths=+0.195+-0.046 kk=+0.268
pq_stft    n/key=  16 fifths=+0.282+-0.047 kk=+0.368
pq_stft    n/key=  32 fifths=+0.396+-0.039 kk=+0.520
pq_stft    n/key=  64 fifths=+0.507+-0.038 kk=+0.670
pq_stft    n/key= 128 fifths=+0.524+-0.018 kk=+0.673
pq_stft    n/key= all fifths=+0.550+-0.000 kk=+0.709
mert_L4    n/key=   1 fifths=+0.035+-0.041 kk=+0.044
mert_L4    n/key=   2 fifths=+0.055+-0.045 kk=+0.077
mert_L4    n/key=   4 fifths=+0.087+-0.027 kk=+0.113
mert_L4    n/key=   8 fifths=+0.115+-0.048 kk=+0.175
mert_L4    n/key=  16 fifths=+0.214+-0.063 kk=+0.299
mert_L4    n/key=  32 fifths=+0.287+-0.042 kk=+0.401
mert_L4    n/key=  64 fifths=+0.401+-0.030 kk=+0.555
mert_L4    n/key= 128 fifths=+0.422+-0.020 kk=+0.578
mert_L4    n/key= all fifths=+0.445+-0.000 kk=+0.607
mert_L12   n/key=   1 fifths=+0.035+-0.042 kk=+0.042
mert_L12   n/key=   2 fifths=+0.054+-0.043 kk=+0.073
mert_L12   n/key=   4 fifths=+0.087+-0.039 kk=+0.106
mert_L12   n/key=   8 fifths=+0.111+-0.048 kk=+0.163
mert_L12   n/key=  16 fifths=+0.221+-0.065 kk=+0.290
mert_L12   n/key=  32 fifths=+0.292+-0.054 kk=+0.380
mert_L12   n/key=  64 fifths=+0.410+-0.033 kk=+0.532
mert_L12   n/key= 128 fifths=+0.438+-0.022 kk=+0.559
mert_L12   n/key= all fifths=+0.468+-0.000 kk=+0.595
mert_L16   n/key=   1 fifths=+0.032+-0.038 kk=+0.034
mert_L16   n/key=   2 fifths=+0.046+-0.041 kk=+0.062
mert_L16   n/key=   4 fifths=+0.069+-0.043 kk=+0.082
mert_L16   n/key=   8 fifths=+0.075+-0.046 kk=+0.119
mert_L16   n/key=  16 fifths=+0.170+-0.056 kk=+0.225
mert_L16   n/key=  32 fifths=+0.228+-0.051 kk=+0.297
mert_L16   n/key=  64 fifths=+0.342+-0.037 kk=+0.438
mert_L16   n/key= 128 fifths=+0.361+-0.021 kk=+0.457
mert_L16   n/key= all fifths=+0.395+-0.000 kk=+0.492
mert_L24   n/key=   1 fifths=+0.016+-0.042 kk=+0.013
mert_L24   n/key=   2 fifths=+0.038+-0.052 kk=+0.053
mert_L24   n/key=   4 fifths=+0.042+-0.034 kk=+0.065
mert_L24   n/key=   8 fifths=+0.034+-0.046 kk=+0.087
mert_L24   n/key=  16 fifths=+0.110+-0.052 kk=+0.146
mert_L24   n/key=  32 fifths=+0.161+-0.040 kk=+0.213
mert_L24   n/key=  64 fifths=+0.253+-0.030 kk=+0.334
mert_L24   n/key= 128 fifths=+0.264+-0.011 kk=+0.340
mert_L24   n/key= all fifths=+0.294+-0.000 kk=+0.375
encodec_32k n/key=   1 fifths=-0.009+-0.041 kk=-0.013
encodec_32k n/key=   2 fifths=+0.012+-0.048 kk=+0.023
encodec_32k n/key=   4 fifths=+0.027+-0.040 kk=+0.022
encodec_32k n/key=   8 fifths=+0.003+-0.061 kk=+0.032
encodec_32k n/key=  16 fifths=+0.019+-0.059 kk=+0.037
encodec_32k n/key=  32 fifths=+0.037+-0.041 kk=+0.042
